id,名称,父id,拼音首字母,拼音首字母集合,拼音,附加说明,行政级别,行政代码,区号,排序
223,马鞍山,13,m,mas,maanshan,,市,340500 ,555 ,5
224,淮北,13,h,hb,huaibei,,市,340600 ,561 ,6
225,铜陵,13,t,tl,tongling,,市,340700 ,562 ,7
226,安庆,13,a,aq,anqing,,市,340800 ,556 ,8
227,黄山,13,h,hs,huangshan,,市,341000 ,559 ,9
228,滁州,13,c,cz,chuzhou,,市,341100 ,550 ,10
229,阜阳,13,f,fy,fuyang,,市,341200 ,558 ,11
230,宿州,13,s,sz,suzhou,,市,341300 ,557 ,12
231,六安,13,l,la,liuan,,市,341500 ,564 ,13
232,亳州,13,b,bz,bozhou,,市,341600 ,558 ,14
233,池州,13,c,cz,chizhou,,市,341700 ,566 ,15
234,宣城,13,x,xc,xuancheng,,市,341800 ,563 ,16
235,福州,14,f,fz,fuzhou,,市,350100 ,591 ,1
236,厦门,14,x,xm,xiamen,,市,350200 ,592 ,2
237,莆田,14,p,pt,putian,,市,350300 ,594 ,3
238,三明,14,s,sm,sanming,,市,350400 ,598 ,4
239,泉州,14,q,qz,quanzhou,,市,350500 ,595 ,5
240,漳州,14,z,zz,zhangzhou,,市,350600 ,596 ,6
241,南平,14,n,np,nanping,,市,350700 ,599 ,7
242,龙岩,14,l,ly,longyan,,市,350800 ,597 ,8
243,宁德,14,n,nd,ningde,,市,350900 ,593 ,9
244,南昌,15,n,nc,nanchang,,市,360100 ,791 ,1
245,景德镇,15,j,jdz,jingdezhen,,市,360200 ,798 ,2
246,萍乡,15,p,px,pingxiang,,市,360300 ,799 ,3
247,九江,15,j,jj,jiujiang,,市,360400 ,792 ,4
248,新余,15,x,xy,xinyu,,市,360500 ,790 ,5
249,鹰潭,15,y,yt,yingtan,,市,360600 ,701 ,6
250,赣州,15,g,gz,ganzhou,,市,360700 ,797 ,7
251,吉安,15,j,ja,jian,,市,360800 ,796 ,8
